Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A12001A_001,SE_A12001A_002,SE_A12001A_003,SE_A12001A_004,SE_A12001A_005,SE_A12001A_006,SE_A12001A_007,SE_A12001A_008,SE_A12001B_001,SE_A12001B_002,SE_A12001B_003,SE_A12001B_004,SE_A12001B_005,SE_A12001B_006,SE_A12001B_007,SE_A12001B_008,SE_A17002_001,SE_A17002_002,SE_A17002_003,SE_A17002_004,SE_A17002_005,SE_A17002_006,SE_A17002_007,SE_A17002A_001,SE_A17002A_002,SE_A17002A_003,SE_A17002A_004,SE_A17002A_005,SE_A17002A_006,SE_A17002A_007,SE_A17002B_001,SE_A17002B_002,SE_A17002B_003,SE_A17002B_004,SE_A17002B_005,SE_A17002B_006,SE_A17002B_007,SE_A17007A_001,SE_A17007A_002,SE_A17007A_003,SE_A17007A_004,SE_A17007A_005,SE_A17007A_006,SE_A17007A_007,SE_A17007A_008,SE_A17007A_009,SE_A17007A_010,SE_A17007A_011,SE_A17007A_012,SE_A17007A_013,SE_A17007A_014,SE_A17007B_001,SE_A17007B_002,SE_A17007B_003,SE_A17007B_004,SE_A17007B_005,SE_A17007B_006,SE_A17007B_007,SE_A17007B_008,SE_A17007B_009,SE_A17007B_010,SE_A17007B_011,SE_A17007B_012,SE_A17007B_013,SE_A17007B_014,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14014_001,SE_A14014_002,SE_A14014_003,SE_A14014_004,SE_A14014_005,SE_A14014_006,SE_A14014_007,SE_A15001_001,SE_A15001_002,SE_A15001_003,SE_A15001_004,SE_A15001_005,SE_A15001_006,SE_A15001_007,SE_A15001_008,SE_A15001_009,SE_A15001_010,SE_A15001_011,SE_A15001_012,SE_A15001_013,SE_A15001_014,SE_A15001_015,SE_A15001_016,SE_A15001_017,SE_A15001_018,SE_A14024_001,SE_A14024A_001,SE_A14024B_001,SE_A14024C_001,SE_A14024D_001,SE_A14024E_001,SE_A14024F_001,SE_A14024G_001,SE_A14024H_001,SE_A14024I_001,SE_A06001_001,SE_A06001_002,SE_A06001_003,SE_A06001_004,SE_A06001_005,SE_A14006_001,SE_A14015_001,SE_A14015_002,SE_A14015_003
1001,"Autauga County, Alabama",ACSSF,al,50,0,13,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01001,Autauga County,,,,55639,27052,28587,55639,3235,3725,3645,2538,4636,7078,7304,7816,7172,4951,2577,962,55639,42150,10866,155,649,24,374,1421,37860,4273,33587,21707,10721,4401,1002,498,17987,1998,15989,10024,5430,2164,548,331,19873,2275,17598,11683,5291,2237,454,167,44360,26025,709,25316,24580,736,18335,21210,14199,587,13612,13156,456,7011,23150,11826,122,11704,11424,280,11324,13156,2275,2096,55,597,459,623,110,1471,597,29,2012,1230,1602,11424,1412,3814,345,113,750,97,614,1082,2167,41,54,487,448,21559,1331,982,1528,1134,1114,726,903,1062,765,1442,2218,2893,2248,1288,1027,898,29611,39381,58163,18177,21755,39996,13763,40987,28132,31224,38967,52979,70556,51291,31204,36688,47265,71966,92917,31968,22061,25917,31015,40503,54684,29804,32447,20404,61011,26482,,31136,21481,33234,32435,55639,54336,1303,639,664,57982,57982,63944,43412
1003,"Baldwin County, Alabama",ACSSF,al,50,0,14,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01003,Baldwin County,,,,218289,105889,112400,218289,11960,11559,15171,8303,15733,24387,26411,28570,31479,26926,13661,4129,218289,186504,19153,1514,2033,10,3398,5677,155563,14823,140740,98468,49636,18192,4861,2016,74060,8517,65543,44920,23305,8085,2534,933,81503,6306,75197,53548,26331,10107,2327,1083,176852,103116,321,102795,98768,4027,73736,84699,53533,272,53261,51476,1785,31166,92153,49583,49,49534,47292,2242,42570,51476,8612,7928,128,1734,2029,2751,645,6581,1733,318,8660,4236,6121,47292,6211,13586,1584,343,3678,2001,2160,6028,9029,127,435,1188,922,84047,4352,4011,2930,3506,3935,4450,3789,4314,3655,6148,7970,11536,7621,5375,4893,5562,30558,39966,54204,22909,23641,40383,14666,40295,25639,31659,34443,52171,64297,49568,26911,39636,48486,65787,83992,31787,22101,25352,27186,41518,57312,33751,36200,18325,17206,34046,,19957,17841,22308,36612,218289,210820,7469,3691,3778,61756,61756,71020,41303
1005,"Barbour County, Alabama",ACSSF,al,50,0,15,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01005,Barbour County,,,,25026,13156,11870,25026,1332,1550,1429,911,2007,3643,3047,3125,3205,2856,1438,483,25026,11587,11929,88,122,1,777,522,17797,4497,13300,6939,2067,771,231,113,9406,2744,6662,2954,957,383,119,36,8391,1753,6638,3985,1110,388,112,77,20407,9356,0,9356,8707,649,11051,10816,4698,0,4698,4458,240,6118,9591,4658,0,4658,4249,409,4933,4458,558,369,28,167,95,335,42,272,176,326,707,574,809,4249,405,1056,252,143,182,220,107,453,773,46,15,353,244,9322,1365,706,972,742,362,515,469,413,279,699,824,680,635,214,206,241,19111,21875,41869,11503,17174,32419,11752,30102,24049,28022,28576,50000,54342,34733,31333,33173,41964,63917,41768,25134,16646,23132,25716,44861,58548,20074,28831,12766,12532,25849,,7398,11498,8171,29349,25026,24387,639,249,390,34990,34990,50940,17249
1007,"Bibb County, Alabama",ACSSF,al,50,0,16,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01007,Bibb County,,,,22374,12022,10352,22374,1253,1186,1198,947,1803,3248,3085,3135,2843,2169,1179,328,22374,17138,5045,12,56,0,9,114,15987,3056,12931,5725,1814,631,150,41,8484,1989,6495,2743,1003,265,80,27,7503,1067,6436,2982,811,366,70,14,18421,8970,0,8970,8303,667,9451,9870,4965,0,4965,4634,331,4905,8551,4005,0,4005,3669,336,4546,4634,355,273,0,280,67,227,63,334,281,144,1077,574,959,3669,236,1001,221,0,191,93,222,563,712,0,37,250,143,7259,799,512,382,382,377,283,217,322,277,628,778,1129,600,212,204,157,22100,29787,47670,16257,18277,37447,14052,33912,34955,27797,32491,52500,57788,42411,37557,36583,42212,93003,64125,24578,16446,19980,26078,43704,52356,22626,25931,10161,,,,,8315,19547,26079,22374,22020,354,147,207,51721,51721,60344,18453
1009,"Blount County, Alabama",ACSSF,al,50,0,17,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01009,Blount County,,,,57755,28677,29078,57755,3505,3486,4077,2304,4569,6879,7060,7630,7863,6019,3106,1257,57755,54271,808,55,236,55,1037,1293,39814,6838,32976,19001,5276,1736,354,132,19348,3761,15587,8829,2107,677,172,91,20466,3077,17389,10172,3169,1059,182,41,46083,24133,44,24089,22836,1253,21950,22779,13323,24,13299,12689,610,9456,23304,10810,20,10790,10147,643,12494,12689,1193,1351,7,420,270,628,49,1049,441,65,3377,1759,2080,10147,1170,3005,583,89,431,180,329,937,2140,71,22,726,464,21205,2145,968,885,1437,937,1445,961,1122,987,1794,1996,2283,1540,1091,1034,580,26998,33756,46379,19091,20859,39478,13175,38662,27708,32209,39803,50830,55742,44684,31615,41781,46951,61572,84946,31197,19049,24024,33361,45172,52693,25457,25996,11369,13173,26307,33262,15493,19654,13034,27166,57755,55241,2514,1077,1437,48922,48922,57291,26384
1011,"Bullock County, Alabama",ACSSF,al,50,0,18,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01011,Bullock County,,,,10173,5578,4595,10173,594,583,729,373,1110,1086,1193,1465,1402,1014,456,168,10173,2663,6980,0,137,0,318,75,6784,1700,5084,2275,697,284,132,28,3736,1122,2614,833,358,171,107,28,3048,578,2470,1442,339,113,25,0,8139,4146,0,4146,4007,139,3993,4507,2481,0,2481,2342,139,2026,3632,1665,0,1665,1665,0,1967,2342,129,254,0,46,89,151,0,125,195,11,487,537,318,1665,113,196,38,76,108,128,111,141,108,37,0,513,96,3429,625,336,138,271,190,174,80,111,84,441,155,258,388,38,45,95,21481,27495,35166,10888,17096,24022,13891,29696,27707,29835,30786,50179,107557,35195,28324,33861,46172,97083,108580,22703,25816,23522,21056,30598,58333,20783,31307,17988,,,,7846,,6075,37392,10173,10020,153,67,86,33866,33866,54551,14592
1013,"Butler County, Alabama",ACSSF,al,50,0,19,,,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01013,Butler County,,,,19726,9050,10676,19726,1161,1174,1301,765,1505,2301,2486,2166,2775,2445,1176,471,19726,10183,8795,66,261,0,98,323,13820,1886,11934,5509,2205,809,158,19,5987,835,5152,2042,722,228,102,12,7833,1051,6782,3467,1483,581,56,7,15764,8522,0,8522,7971,551,7242,6999,3883,0,3883,3655,228,3116,8765,4639,0,4639,4316,323,4126,3655,443,432,23,60,160,118,36,194,61,54,674,761,639,4316,444,876,153,32,413,218,54,574,776,18,141,496,121,6649,525,519,488,364,432,244,369,396,340,424,622,622,565,343,222,174,20952,26445,40408,15507,17686,31250,12173,28139,21161,25999,27458,42537,53571,32382,21429,30481,41875,51477,100455,22440,16944,19596,20093,40350,39808,23415,29731,16838,16139,22026,,17824,7666,9289,29852,19726,19358,368,87,281,44850,44850,52031,24688
1015,"Calhoun County, Alabama",ACSSF,al,50,0,20,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01015,Calhoun County,,,,114324,54925,59399,114324,6662,6779,6938,4390,10588,15075,13654,14206,15787,12107,6204,1934,114324,83801,24190,358,925,327,1871,2852,78967,11787,67180,39977,14890,6594,1976,883,36999,5897,31102,17950,6273,2537,1124,523,41968,5890,36078,22027,8617,4057,852,360,92587,52189,515,51674,47905,3769,40398,44022,27139,456,26683,24997,1686,16883,48565,25050,59,24991,22908,2083,23515,24997,2694,3207,73,1069,1086,819,297,2679,904,260,4179,3897,3833,22908,2571,6091,1126,176,1585,1051,793,2471,4599,24,219,1420,782,44572,3546,2702,2391,2459,2740,2505,2245,1888,1741,4182,4362,5445,3857,1879,1480,1150,25191,31828,49021,17466,20378,37576,13452,34716,22612,30168,34292,47286,56856,41577,29515,34767,45098,58250,73750,27626,15910,23935,26300,38776,51201,26238,28351,20676,20924,38773,41026,17741,11823,17700,28536,114324,111479,2845,1322,1523,50128,50128,57587,31621
1017,"Chambers County, Alabama",ACSSF,al,50,0,21,,,,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01017,Chambers County,,,,33427,15928,17499,33427,1984,1769,2022,1171,2710,4222,3706,4493,4820,3981,1960,589,33427,19015,13372,81,368,9,264,318,23771,4140,19631,10802,3433,942,202,29,11082,2028,9054,4684,1513,389,116,7,12689,2112,10577,6118,1920,553,86,22,27270,15272,0,15272,14724,548,11998,12810,8102,0,8102,7908,194,4708,14460,7170,0,7170,6816,354,7290,7908,777,559,86,364,291,315,136,503,376,120,1346,2017,1018,6816,570,1676,372,76,336,234,104,626,1391,0,42,1153,236,13582,819,885,1101,792,1107,1000,693,529,514,1256,1222,1834,814,582,220,214,23436,30684,45098,15926,19290,33122,12955,32764,23028,28459,34962,42928,49085,38484,23750,35182,46168,45553,57083,27862,22057,23480,27566,40236,49040,24088,26778,20465,10346,30326,,20373,15427,20431,27094,33427,32806,621,194,427,43875,43875,49910,33971
1019,"Cherokee County, Alabama",ACSSF,al,50,0,22,,,,,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01019,Cherokee County,,,,26035,12875,13160,26035,1128,1317,1584,974,1889,2555,2870,3643,4106,3555,1836,578,26035,23970,1250,150,26,0,212,427,19143,3288,15855,8360,2476,1274,531,132,9310,1622,7688,3904,1037,482,290,83,9833,1666,8167,4456,1439,792,241,49,21732,10754,0,10754,10310,444,10978,10772,6045,0,6045,5726,319,4727,10960,4709,0,4709,4584,125,6251,5726,628,704,17,91,181,272,112,311,76,65,1295,1085,889,4584,357,1586,263,15,330,171,151,546,578,39,10,371,167,10836,707,561,1010,527,880,731,729,538,253,896,1101,1145,817,209,375,357,24325,30056,46270,18342,18680,37819,12776,35959,20882,33140,36325,44316,56947,40758,21628,37443,41939,46333,,31770,19796,26537,32837,42594,54035,26231,26899,20786,16929,10369,,,15684,16893,26921,26035,25532,503,142,361,42509,42509,50954,30184
